rw_oc;rw;pr;;rw_oc;rw;pr;;
задан;задан;задан;;задан;задан;задан;;
процессор;процессор;процессор;;процессор;процессор;процессор;;
расписан;расписан;расписан;;расписан;расписан;расписан;;
операц;операц;алгоритм;;операц;операц;алгоритм;;
алгоритм;алгоритм;операц;;алгоритм;алгоритм;операц;;
дан;дан;дан;;дан;дан;дан;;
выполнен;верс;числ;;выполнен;выполнен;времен;;
верс;выполнен;врем;;времен;времен;выполнен;;
времен;врем;времен;;верс;надежн;надежн;;
врем;надежн;верс;;надежн;верс;кажд;;
надежн;времен;надежн;;врем;врем;вероятн;;
числ;числ;вероятн;;вероятн;вероятн;врем;;
вероятн;вероятн;выполнен;;кажд;кажд;числ;;
кажд;кажд;задач;;систем;систем;систем;;
систем;систем;след;;числ;числ;верс;;
задач;след;эт;;tdir;tdir;след;;
перенос;зада;зада;;одн;след;задач;;
след;tdir;котор;;задач;одн;одн;;
одн;задач;систем;;след;котор;эт;;
зада;одн;одн;;котор;задач;котор;;
эт;котор;кажд;;работ;зада;работ;;
котор;перенос;перенос;;параметр;работ;параметр;;
tdir;эт;работ;;зада;эт;зада;;
построен;работ;позиц;;перенос;перенос;программ;;
позиц;позиц;гипотез;;программ;параметр;явля;;
работ;параметр;множеств;;множеств;программ;tdir;;
передач;граф;tdir;;эт;множеств;множеств;;
граф;нов;параметр;;построен;корректн;перенос;;
программ;выполня;программ;;нов;нов;корректн;;
гипотез;множеств;корректн;;корректн;позиц;вычислительн;;
