rw_oc;rw;pr;;rw_oc;rw;pr;;
работ;работ;алгоритм;;работ;работ;алгоритм;;
расписан;алгоритм;расписан;;расписан;алгоритм;расписан;;
алгоритм;расписан;работ;;алгоритм;расписан;работ;;
задач;задач;дан;;задач;задач;задач;;
сообщен;сообщен;задач;;сообщен;дан;дан;;
дан;дан;сообщен;;дан;сообщен;сообщен;;
ограничен;ограничен;множеств;;построен;построен;времен;;
построен;множеств;ограничен;;ограничен;времен;построен;;
множеств;времен;времен;;множеств;ограничен;зада;;
выполнен;систем;процессор;;выполнен;множеств;кажд;;
систем;зада;зада;;времен;выполнен;множеств;;
времен;котор;котор;;систем;зада;систем;;
зада;построен;систем;;зада;систем;ограничен;;
котор;выполнен;кажд;;кажд;кажд;процессор;;
рабоч;кажд;числ;;котор;котор;котор;;
числ;числ;след;;числ;числ;выполнен;;
кажд;процессор;операц;;рабоч;процессор;числ;;
процессор;операц;значен;;процессор;набор;след;;
поведен;значен;одн;;значен;операц;одн;;
значен;набор;набор;;набор;значен;соответств;;
операц;функц;явля;;врем;врем;набор;;
траектор;след;процесс;;функц;функц;операц;;
врем;врем;выполнен;;траектор;след;решен;;
набор;соответств;решен;;операц;соответств;значен;;
функц;рабоч;построен;;поведен;рабоч;функц;;
интервал;решен;соответств;;интервал;решен;врем;;
след;одн;функц;;соответств;одн;явля;;
решен;процесс;задан;;решен;интервал;возможн;;
соответств;траектор;врем;;след;возможн;так;;
интерва;интервал;возможн;;интерва;поведен;процесс;;
