rw_oc;rw;pr;;
работ;работ;алгоритм;;
расписан;алгоритм;расписан;;
алгоритм;расписан;работ;;
задач;задач;дан;;
сообщен;сообщен;задач;;
дан;дан;сообщен;;
ограничен;ограничен;множеств;;
построен;множеств;времен;;
множеств;времен;ограничен;;
выполнен;систем;процессор;;
систем;зада;зада;;
времен;котор;котор;;
зада;построен;систем;;
котор;выполнен;кажд;;
рабоч;кажд;числ;;
числ;числ;след;;
кажд;процессор;операц;;
процессор;операц;значен;;
поведен;значен;одн;;
операц;набор;явля;;
значен;функц;набор;;
врем;след;процесс;;
траектор;врем;построен;;
набор;соответств;выполнен;;
функц;рабоч;решен;;
интервал;решен;соответств;;
след;одн;функц;;
решен;процесс;задан;;
соответств;траектор;врем;;
интерва;интервал;возможн;;
