rw_oc;rw;pr;;rw_oc;rw;pr;;
расписан;расписан;расписан;;расписан;расписан;расписан;;
задач;задач;задач;;времен;задач;задач;;
времен;времен;работ;;задач;времен;времен;;
ограничен;ограничен;ограничен;;работ;работ;работ;;
вычислен;вычислен;времен;;ограничен;ограничен;ограничен;;
работ;работ;вычислен;;алгоритм;вычислен;алгоритм;;
алгоритм;алгоритм;алгоритм;;вычислен;алгоритм;точност;;
реальн;реальн;точност;;реальн;реальн;вычислен;;
теор;теор;реальн;;точност;точност;всрв;;
построен;точност;всрв;;планирован;теор;реальн;;
точност;построен;построен;;теор;модел;теор;;
модел;модел;теор;;модел;всрв;костенк;;
использован;всрв;обычн;;выполнен;построен;выполнен;;
всрв;выполнен;функц;;всрв;планирован;модел;;
выполнен;планирован;процессор;;использован;использован;планирован;;
систем;обычн;оценк;;построен;выполнен;построен;;
планирован;использован;модел;;конференц;костенк;использован;;
конференц;систем;конференц;;костенк;привод;конференц;;
труд;требован;труд;;неприемлем;систем;средств;;
процессор;функц;объем;;систем;требован;привод;;
функц;оценк;пресс;;требован;набор;вид;;
пресс;набор;использован;;привод;неприемлем;пресс;;
оценк;процессор;памят;;мгу;обычн;однак;;
требован;рассматрива;выполнен;;пресс;рассматрива;дан;;
обычн;привод;рассматрива;;ashalim;конференц;ломоносов;;
мгу;результат;критер;;ломоносов;технологическ;обычн;;
объем;костенк;mco;;средств;проблем;мгу;;
памят;критер;требован;;вид;оценк;существен;;
mco;памят;частн;;объем;функц;объем;;
критер;упрощен;набор;;однак;том;частн;;
