rw_oc;rw;pr;;rw_oc;rw;pr;;
траектор;траектор;траектор;;траектор;траектор;траектор;;
алгоритм;алгоритм;алгоритм;;алгоритм;алгоритм;алгоритм;;
поведен;систем;систем;;систем;систем;систем;;
систем;поведен;поведен;;поведен;поведен;поведен;;
нештатн;нештатн;распознаван;;нештатн;нештатн;нештатн;;
распознаван;распознаван;акс;;распознаван;распознаван;акс;;
участк;акс;нештатн;;участк;акс;распознаван;;
акс;участк;выборк;;акс;участк;участк;;
выборк;выборк;числ;;набор;выборк;функц;;
набор;числ;сист;;числ;набор;числ;;
числ;набор;участк;;выборк;числ;выборк;;
буд;буд;зада;;функц;буд;набор;;
функц;котор;котор;;прецедент;разметк;сист;;
котор;зада;набор;;разметк;функц;котор;;
фазов;функц;функц;;котор;котор;разметк;;
разметк;разметк;метод;;искажен;прецедент;зада;;
метод;сист;разметк;;буд;зада;прецедент;;
класс;фазов;услов;;зада;сист;обуча;;
сист;построен;буд;;построен;построен;буд;;
построен;искажен;этап;;фазов;фазов;услов;;
услов;услов;фазов;;обуча;искажен;метод;;
зада;разметок;аксиом;;сист;обуча;подход;;
поиск;эталон;значен;;услов;услов;искажен;;
прецедент;поиск;отсчет;;класс;кажд;фазов;;
искажен;работ;разметок;;метод;класс;построен;;
эталон;кажд;подход;;точк;точк;аксиом;;
точк;точк;задач;;поиск;работ;времен;;
значен;метод;точк;;кажд;эталон;точк;;
работ;класс;искажен;;работ;разметок;работ;;
разметок;аксиом;эталон;;называ;поиск;кажд;;
