rw_oc;rw;pr;;rw_oc;rw;pr;;
сообщен;сообщен;сообщен;;сообщен;сообщен;сообщен;;
окн;окн;окн;;окн;окн;окн;;
област;област;област;;област;област;алгоритм;;
расписан;алгоритм;алгоритм;;расписан;алгоритм;област;;
задач;расписан;задач;;алгоритм;расписан;расписан;;
алгоритм;задач;расписан;;задач;передач;передач;;
передач;передач;дан;;обмен;задач;задач;;
кроссворд;дан;передач;;передач;дан;дан;;
построен;кроссворд;кроссворд;;построен;кроссворд;кроссворд;;
дан;обмен;одн;;кроссворд;обмен;обмен;;
японск;котор;кажд;;статус;построен;кажд;;
статус;одн;котор;;дан;статус;одн;;
обмен;кажд;порт;;японск;кажд;времен;;
кажд;статус;директивн;;устройств;одн;котор;;
одн;построен;коммутатор;;кажд;устройств;статус;;
устройств;директивн;обмен;;времен;японск;зада;;
директивн;устройств;зада;;одн;времен;японск;;
зада;порт;устройств;;коммутатор;котор;построен;;
котор;использ;использ;;зада;зада;директивн;;
порт;коммутатор;статус;;директивн;директивн;соответств;;
времен;зада;соответств;;котор;порт;порт;;
коммутатор;времен;набор;;выбор;соответств;выбор;;
использ;соответств;времен;;решен;коммутатор;устройств;;
решен;японск;построен;;точн;использ;коммутатор;;
набор;набор;групп;;соответств;выбор;решен;;
точн;решен;японск;;набор;решен;набор;;
соответств;точн;работ;;порт;набор;групп;;
выбор;групп;возможн;;использ;точн;количеств;;
работ;выбор;множеств;;сформулирова;групп;сформулирова;;
групп;множеств;решен;;групп;длин;стандарт;;
