rw_oc;rw;pr;;rw_oc;rw;pr;;
работ;работ;работ;;работ;работ;работ;;
алгоритм;алгоритм;алгоритм;;алгоритм;алгоритм;алгоритм;;
расписан;расписан;задач;;ограничен;расписан;расписан;;
ограничен;ограничен;подцикл;;расписан;ограничен;задач;;
задач;задач;расписан;;задач;задач;ограничен;;
подцикл;подцикл;ограничен;;подцикл;подцикл;подцикл;;
операц;критер;критер;;критер;критер;критер;;
критер;операц;операц;;операц;операц;множеств;;
выполнен;множеств;пут;;построен;множеств;операц;;
выбор;выполнен;множеств;;множеств;выполнен;выполнен;;
множеств;выбор;возможн;;выполнен;построен;схем;;
построен;возможн;выполнен;;схем;выбор;возможн;;
набор;времен;выбор;;выбор;возможн;построен;;
возможн;набор;времен;;возможн;схем;зада;;
пут;пут;набор;;времен;времен;выбор;;
времен;построен;значен;;сообщен;зада;времен;;
сообщен;зада;мурав;;набор;набор;пут;;
схем;схем;схем;;зада;сообщен;значен;;
зада;значен;зада;;пут;пут;набор;;
последовательн;сообщен;последовательн;;цепочк;значен;сообщен;;
цепочк;цепочк;построен;;директивн;цепочк;дан;;
директивн;последовательн;кажд;;значен;последовательн;директивн;;
котор;котор;дан;;последовательн;директивн;кажд;;
врем;директивн;директивн;;мурав;соответств;соответств;;
значен;соответств;котор;;размещен;котор;последовательн;;
мурав;врем;сообщен;;врем;кажд;мурав;;
количеств;кажд;соответств;;соответств;дан;частн;;
размещен;мурав;цепочк;;количеств;количеств;количеств;;
кажд;дан;количеств;;дан;размещен;котор;;
соответств;размещен;вычислительн;;котор;врем;цепочк;;
