rw_oc;rw;pr;;rw_oc;rw;pr;;
алгоритм;алгоритм;алгоритм;;алгоритм;алгоритм;алгоритм;;
обучен;обучен;обучен;;обучен;обучен;обучен;;
отсечен;отсечен;отсечен;;отсечен;отсечен;отсечен;;
нс;нс;нс;;цикл;нс;нс;;
цикл;числ;функц;;числ;цикл;функц;;
числ;функц;зада;;нс;функц;цикл;;
мультистарт;цикл;числ;;мультистарт;числ;зада;;
функц;мультистарт;сет;;функц;мультистарт;числ;;
нейрон;сет;цикл;;сет;сет;нейрон;;
сет;зада;старт;;зада;нейрон;сет;;
старт;старт;нейрон;;нейрон;зада;старт;;
зада;нейрон;называ;;старт;старт;мультистарт;;
называ;коэффициент;количеств;;называ;коэффициент;называ;;
коэффициент;называ;общ;;инициализац;называ;инициализац;;
общ;аппроксимац;схем;;коэффициент;аппроксимац;аппроксимац;;
аппроксимац;общ;кажд;;аппроксимац;буд;ошибк;;
архитектур;шаг;мультистарт;;общ;инициализац;общ;;
шаг;буд;набор;;буд;шаг;буд;;
схем;количеств;аппроксимац;;шаг;общ;архитектур;;
буд;тип;начальн;;ошибк;архитектур;соответств;;
тип;схем;архитектур;;архитектур;ошибк;количеств;;
количеств;архитектур;ошибк;;научн;выборк;выборк;;
ошибк;дан;задач;;количеств;количеств;схем;;
набор;кажд;дан;;схем;схем;коэффициент;;
задач;инициализац;тип;;дан;дан;дан;;
кажд;задач;шаг;;pp;набор;набор;;
начальн;ошибк;работ;;оптимальн;начальн;шаг;;
инициализац;выборк;буд;;выборк;так;начальн;;
оптимальн;набор;инициализац;;масштабирован;кажд;кажд;;
научн;локальн;критер;;соответств;критер;работ;;
