rw_oc;rw;pr;;rw_oc;rw;pr;;
работ;работ;работ;;работ;работ;работ;;
окн;окн;окн;;окн;окн;окн;;
расписан;расписан;расписан;;расписан;расписан;расписан;;
вершин;вершин;алгоритм;;вершин;вершин;алгоритм;;
алгоритм;алгоритм;вершин;;алгоритм;алгоритм;вершин;;
задач;задач;задач;;задач;задач;задач;;
маршрут;маршрут;маршрут;;маршрут;маршрут;маршрут;;
sp;времен;времен;;времен;времен;времен;;
времен;sp;одн;;sp;одн;одн;;
одн;одн;sp;;последовательн;sp;дан;;
последовательн;последовательн;последовательн;;одн;последовательн;последовательн;;
построен;так;дан;;построен;дан;построен;;
дан;дан;так;;соответств;построен;соответств;;
так;соответств;мурав;;дан;соответств;sp;;
соответств;котор;котор;;так;так;кажд;;
optimization;граф;соответств;;кажд;кажд;так;;
граф;корректн;optimization;;закрыт;корректн;корректн;;
закрыт;кажд;fi;;граф;граф;постро;;
котор;закрыт;явля;;корректн;закрыт;мурав;;
размещен;построен;граф;;постро;котор;закрыт;;
fi;размещен;переход;;optimization;размещен;граф;;
внутр;sl;кажд;;размещен;постро;выполнен;;
корректн;явля;выполнен;;внутр;явля;optimization;;
кажд;выполнен;корректн;;выполнен;sl;явля;;
мурав;fi;размещен;;мурав;выполня;котор;;
выполнен;мурав;количеств;;котор;внутр;раздел;;
количеств;внутр;sl;;выполня;выполнен;зада;;
постро;количеств;зада;;sl;раздел;определен;;
выполня;выполня;закрыт;;раздел;зада;оптимальн;;
раздел;постро;добавля;;fi;множеств;переход;;
