rw_oc;rw;pr;;rw_oc;rw;pr;;
расписан;расписан;расписан;;расписан;расписан;расписан;;
процесс;процесс;процесс;;процесс;процесс;процесс;;
алгоритм;алгоритм;алгоритм;;алгоритм;алгоритм;алгоритм;;
сет;сет;нейрон;;сет;сет;сет;;
нейрон;нейрон;сет;;процессор;процессор;задач;;
хопфилд;процессор;состоян;;хопфилд;хопфилд;нейрон;;
процессор;хопфилд;функц;;нейрон;нейрон;хопфилд;;
функц;функц;хопфилд;;задач;функц;процессор;;
выполнен;решен;решен;;функц;задач;функц;;
состоян;множеств;процессор;;множеств;выполнен;состоян;;
множеств;состоян;множеств;;состоян;hp;выполнен;;
решен;выполнен;выполнен;;выполнен;состоян;множеств;;
задач;hp;hp;;hp;множеств;hp;;
hp;задач;задач;;локальн;решен;решен;;
построен;построен;возможн;;построен;локальн;локальн;;
программ;след;след;;решен;построен;связ;;
локальн;локальн;связ;;связ;связ;нейросет;;
получен;получен;нейросет;;получен;нейросет;построен;;
оптимум;программ;зада;;нейросет;получен;след;;
связ;связ;программ;;программ;след;значен;;
нейросет;нейросет;значен;;след;программ;числ;;
след;зада;соответств;;энерг;соответств;получен;;
соответств;соответств;локальн;;врем;врем;времен;;
таблиц;таблиц;получен;;таблиц;образ;программ;;
энерг;значен;ограничен;;значен;числ;соответств;;
возможн;возможн;случа;;числ;значен;ограничен;;
зада;образ;динамик;;соответств;зада;врем;;
врем;врем;числ;;зада;таблиц;свойств;;
образ;оптимум;образ;;образ;ограничен;образ;;
исследован;числ;вычислительн;;порядк;энерг;вариант;;
