rw_oc;rw;pr;;rw_oc;rw;pr;;
расписан;расписан;расписан;;расписан;расписан;расписан;;
рабоч;рабоч;рабоч;;рабоч;рабоч;рабоч;;
алгоритм;алгоритм;алгоритм;;интервал;алгоритм;алгоритм;;
интервал;интервал;интервал;;алгоритм;интервал;интервал;;
интерва;интерва;интерва;;интерва;интерва;интерва;;
hp;hp;hp;;hp;hp;hp;;
операц;ограничен;процесс;;операц;ограничен;ограничен;;
ограничен;операц;ограничен;;ограничен;операц;операц;;
номер;процесс;операц;;ярус;процесс;процесс;;
ярус;ярус;параметр;;номер;значен;значен;;
процесс;параметр;дан;;задач;номер;задач;;
параметр;дан;вс;;допустим;параметр;выполнен;;
задач;вс;определя;;параметр;допустим;дан;;
вс;допустим;ярус;;процесс;задач;параметр;;
допустим;значен;значен;;числ;ярус;допустим;;
дан;номер;процессор;;значен;числ;вс;;
значен;числ;зада;;вс;вс;числ;;
числ;задач;допустим;;представлен;дан;построен;;
процессор;зада;числ;;выполнен;выполнен;определя;;
представлен;процессор;номер;;построен;представлен;метод;;
зада;выполнен;задач;;дан;построен;номер;;
построен;определя;решен;;процессор;зада;зада;;
выполнен;решен;метод;;зада;процессор;программ;;
метод;получен;выполнен;;программ;определя;представлен;;
программ;множеств;возможн;;множеств;множеств;процессор;;
определя;представлен;получен;;определя;программ;архитектур;;
множеств;метод;соответств;;метод;метод;получен;;
решен;программ;множеств;;аппаратн;получен;решен;;
получен;явля;программ;;решен;явля;порядк;;
архитектур;соответств;явля;;архитектур;порядк;явля;;
