rw_oc;rw;pr;;rw_oc;rw;pr;;
работ;работ;работ;;работ;работ;работ;;
расписан;расписан;алгоритм;;расписан;расписан;расписан;;
алгоритм;алгоритм;расписан;;алгоритм;алгоритм;алгоритм;;
шин;дан;дан;;шин;шин;шин;;
дан;шин;ограничен;;дан;дан;дан;;
директивн;ограничен;шин;;директивн;ограничен;ограничен;;
ограничен;директивн;оптимальн;;ограничен;директивн;оптимальн;;
оптимальн;оптимальн;услов;;размещен;оптимальн;директивн;;
услов;услов;систем;;услов;услов;услов;;
выполнен;систем;случа;;оптимальн;выполнен;построен;;
обмен;выполнен;перебор;;построен;устройств;систем;;
систем;устройств;директивн;;устройств;размещен;выполнен;;
устройств;срок;выполнен;;выполнен;построен;устройств;;
построен;размещен;устройств;;обмен;систем;времен;;
размещен;перебор;результат;;оконечн;обмен;перебор;;
оконечн;обмен;срок;;систем;оконечн;случа;;
срок;исходн;времен;;слов;перебор;одн;;
сообщен;оконечн;процедур;;перебор;срок;процедур;;
слов;построен;исходн;;срок;времен;размещен;;
исходн;времен;информац;;времен;котор;определя;;
перебор;котор;определя;;котор;слов;котор;;
котор;сообщен;котор;;сообщен;процедур;оконечн;;
времен;слов;одн;;процедур;исходн;обмен;;
процедур;случа;сообщен;;одн;сообщен;исходн;;
одн;процедур;оконечн;;исходн;случа;эт;;
след;след;след;;задач;одн;срок;;
случа;результат;построен;;определя;след;след;;
результат;одн;обмен;;случа;определя;информац;;
набор;определя;размещен;;списк;задач;результат;;
списк;набор;задач;;след;списк;сообщен;;
