rw_oc;rw;pr;;rw_oc;rw;pr;;
работ;работ;работ;;работ;работ;работ;;
сообщен;сообщен;сообщен;;сообщен;сообщен;сообщен;;
расписан;расписан;расписан;;расписан;расписан;расписан;;
алгоритм;алгоритм;алгоритм;;множеств;алгоритм;алгоритм;;
множеств;множеств;множеств;;алгоритм;множеств;модул;;
модул;модул;дан;;модул;модул;дан;;
передач;дан;модул;;передач;передач;задач;;
задач;задач;задач;;задач;дан;множеств;;
выполнен;передач;выполнен;;дан;задач;кажд;;
дан;выполнен;котор;;выполнен;выполнен;передач;;
вычислительн;запланирова;кажд;;вычислительн;кажд;выполнен;;
кажд;кажд;запланирова;;запланирова;вычислительн;котор;;
вершин;котор;передач;;кажд;запланирова;вычислительн;;
запланирова;вычислительн;времен;;врем;котор;длительн;;
врем;вершин;вершин;;вершин;врем;врем;;
длительн;врем;врем;;длительн;длительн;времен;;
директивн;длительн;вычислительн;;котор;вершин;запланирова;;
котор;набор;длительн;;планирован;планирован;планирован;;
набор;ограничен;ограничен;;директивн;директивн;вершин;;
планирован;планирован;минимальн;;времен;набор;возможн;;
построен;директивн;набор;;возможн;времен;набор;;
времен;времен;построен;;набор;возможн;директивн;;
ограничен;шаг;возможн;;ограничен;ограничен;минимальн;;
минимальн;построен;планирован;;шаг;построен;ограничен;;
шаг;возможн;директивн;;построен;шаг;значен;;
возможн;минимальн;подход;;минимальн;минимальн;построен;;
срок;зада;шаг;;решен;срок;одн;;
подход;подход;значен;;критер;зада;критер;;
зада;известн;известн;;срок;критер;зада;;
решен;значен;эт;;зада;значен;срок;;
