rw_oc;pr;;rw_oc;pr;;
квартир;сша;;штаб;агентств;;
штаб;агентств;;мвф;сша;;
мвф;анб;;квартир;анб;;
вб;переговор;;агентств;переговор;;
прослушк;слежк;;переговор;попа;;
слежк;американц;;сша;организац;;
международн;попа;;дом;прослушива;;
переговор;комментирова;;прослушк;штаб;;
вашингтон;организац;;анб;дом;;
оон;информац;;организац;мвф;;
здан;reuters;;приостановл;американц;;
приостановл;прослушк;;вб;информац;;
дом;прослушива;;вашингтон;reuters;;
расположен;квартир;;слежк;прослушк;;
бел;международн;;врем;слежк;;
сам;штаб;;reuters;квартир;;
сша;дом;;оон;сноуд;;
комментирова;вб;;попа;газет;;
примерн;бел;;прослушива;нескольк;;
нью;мвф;;сам;немецк;;
