выполн;2;22002.1975513;
означа;1;26429.4083089;
однопроцессорн;1;59613.2720499;
gp;11;168373.443294;
отрезк;1;4242.37130321;
иерархическ;3;47781.7374029;
список;2;8303.78478067;
обязательн;4;404262.374554;
присутств;2;37647.8821045;
гарантирова;1;15776.2718817;
mila;2;1629.36026647;
расширен;1;13707.2113684;
gi;7;123850.022524;
авиацион;1;9565.64329118;
зарезервирова;1;10375.9026931;
составля;1;9239.42053697;
конец;3;31571.7216842;
научн;2;4213.09479693;
наук;1;1066.41233462;
последовательн;20;336318.551908;
удален;1;33197.101943;
зада;26;247606.563035;
вершин;9;89864.2770353;
должн;11;178133.661118;
уменьша;1;7963.73843943;
сформулирова;1;12257.0058332;
представлен;2;21208.4986541;
мурав;19;204388.986986;
вычислительн;8;2696957.413;
содерж;1;16018.4261301;
p;4;26651.7971612;
друг;13;619968.017704;
стоимост;3;22013.0435776;
разбива;1;14784.4815083;
выполнен;32;907242.299564;
движен;1;5882.50655719;
повыша;1;19914.4692857;
результат;2;48244.6821749;
пресс;1;6461.44819332;
пример;1;5400.88156694;
представ;4;39855.2719443;
полиноминальн;1;5406.3780249;
локальн;7;55853.1019439;
n;3;24780.2432303;
удовлетворя;1;25623.8534045;
шин;8;132114.077475;
ориентирова;1;44713.9369986;
след;16;196915.024219;
существ;2;21615.2529951;
модификац;1;24519.3446199;
максимальн;5;57194.8634613;
г;1;7564.64696004;
набор;28;401203.101289;
полага;1;3245.82022545;
средств;4;773102.463899;
информац;2;71859.7095727;
феромон;13;75624.8596826;
таб;3;5221.87549846;
указа;1;14705.761934;
завершен;13;496382.092664;
необходим;1;24274.4912808;
интерва;14;592745.828996;
параметр;3;39988.9967165;
так;6;76935.09072;
длин;10;188925.631164;
го;1;12000.3312502;
эт;10;149924.59758;
решен;9;138733.555757;
k;6;71843.3417046;
передач;5;42215.2270293;
построен;32;1649320.06518;
завис;1;18657.9047681;
некотор;4;36381.2394454;
добавл;2;101161.126965;
размещен;19;515255.572165;
наруша;2;26446.1973802;
avionics;1;0.0392376904493;
буд;2;15749.4386444;
превыша;5;73964.3575235;
обновля;1;21359.3255261;
комбинац;1;4369.99155451;
описа;1;7411.00576742;
коэффициент;1;4801.16838939;
вед;1;29680.844054;
равн;8;173709.209991;
апробац;1;1519.34877243;
конц;3;158480.298988;
настройк;5;53452.5550879;
msu;1;1883.02054395;
канал;6;83660.1931354;
пройден;1;12141.8987432;
потенциальн;1;24354.8012445;
неприемлем;2;7995.46752958;
избеган;1;7117.91121328;
о;7;210749.587923;
времен;27;6818330.17286;
выбор;28;527887.017295;
цепочк;23;385525.101715;
включен;1;7360.79158378;
ю;2;32160.5342707;
выбра;4;58702.0092122;
f;1;2386.56043823;
корректировк;4;65963.3052368;
v;3;3552.78898596;
нарушен;11;347806.278205;
лев;1;14684.3417504;
kostenk;1;1461.88033837;
уменьш;1;57042.2105832;
пересека;3;43939.4721248;
рассчитыва;1;6985.8117482;
dipartiment;1;17.4898944229;
указыва;1;9375.12404509;
работ;153;4423545.58399;
циклограмм;3;41680.2492562;
постро;1;36964.3332074;
o;3;59545.2839928;
scheduling;1;13.1207031749;
kost;1;341.560839257;
стратег;8;75728.877041;
пауз;1;34305.2973811;
привод;3;47903.456137;
сборник;1;63565.6686751;
управлен;7;146389.292483;
централизова;6;66132.515963;
сочета;5;47456.6986396;
исключ;1;25659.3815366;
кратчайш;1;4214.9191245;
й;3;40201.1408047;
кажд;18;281803.589226;
балаш;2;101712.039647;
исход;1;7780.16996359;
пп;2;12981.8834369;
конкретн;5;48350.6078007;
корректир;1;29853.0804274;
очеред;1;2345.50258344;
max;2;88030.3916675;
суммарн;1;5518.72116033;
достич;1;3152.09623895;
важност;1;2512.04134858;
мног;4;35224.8087977;
выполня;13;957059.463705;
отмет;2;36046.1225773;
расшир;1;19342.4030095;
a;3;31244.1346522;
обработк;2;57333.0264994;
осуществля;7;101560.123351;
различн;7;91667.5759827;
su;1;1676.90651183;
показа;4;388385.384261;
sj;1;8151.94911042;
algorithms;1;26.1484410236;
elettronic;1;38.4876446743;
предыдущ;1;4018.09894512;
станов;2;11070.5579292;
оценк;2;62986.6733472;
нахожден;2;8353.34869583;
обновлен;3;31727.5557276;
учитыва;2;44925.2062441;
найден;1;4542.12629213;
велик;1;15647.4870423;
thesis;1;22.0783128524;
вычисля;3;47297.5029856;
машин;2;111994.185979;
точност;10;149913.057739;
вытесня;1;47100.8377123;
удал;1;48097.8792187;
lk;1;5651.19546503;
планирован;4;93038.3036209;
систем;5;603096.84423;
д;2;61458.5026833;
eucass;2;2.92955069818;
статистическ;1;2675.83763746;
предложен;1;14477.006767;
вероятн;3;13941.6381131;
вид;3;34869.9374381;
интервал;10;373542.452729;
полносвязн;1;18914.9845738;
количеств;17;140341.519093;
пункт;1;3367.35880194;
dat;1;1.44080090757;
хорош;1;3179.06088925;
порядк;5;64832.8442548;
наход;2;25034.3754534;
колон;2;27214.9691491;
повыс;1;12979.7808835;
получен;2;45827.7593067;
меньш;6;50454.8382363;
теор;3;106560.337866;
требуем;1;4582.18802673;
облегча;1;9456.35268378;
одноприборн;9;10048053.7456;
оказа;2;25932.7530019;
сдвиг;5;93813.1804856;
шаг;14;201066.156961;
длительн;7;191326.695092;
абонент;1;67494.6292966;
значен;20;189672.45613;
проблем;3;4840.36473475;
ин;1;2412.004167;
ниж;1;4447.26242427;
ломоносов;3;4086.60372389;
большинств;2;23002.1018567;
прав;1;2646.26989066;
упорядочен;6;64828.2005417;
устанавлива;1;18094.2317811;
выдел;1;3150.30962097;
выбира;7;98864.0129137;
соответств;18;331453.492488;
подцикл;48;864170.170784;
rea;1;0.0266127915346;
две;1;10718.0147263;
п;16;212588.360761;
резерв;5;314326.47525;
politechnic;1;187.383518435;
настро;2;23512.2525672;
предлож;3;46914.4109087;
оптимум;1;7518.35914006;
рав;1;66791.6218228;
иде;1;13455.1921879;
программирован;2;20499.6031674;
g;11;97755.6147037;
происход;1;6691.86268823;
конечн;1;45817.694404;
оптимальн;6;62877.8875197;
вызов;2;34701.5360625;
ран;1;12298.4114322;
реша;3;73813.4299904;
порядков;1;4343.46905016;
специализирова;2;39912.8504496;
период;1;9016.02937125;
всрв;4;2810304.1566;
конференц;2;2262.87407298;
гэр;1;6608.98492721;
располага;1;15344.6945556;
метод;3;116672.088143;
exchang;1;0.162236978075;
переход;13;163019.584957;
аналогичн;2;30556.4855853;
расписан;69;4910680.37907;
соста;7;19605546.2737;
обусловл;2;19135.1291773;
входя;9;19753908.4564;
мож;1;6164.84270801;
определя;7;68149.0181955;
оценок;1;9364.33203019;
граф;8;79293.9522228;
phd;1;4.5885996014;
жадн;9;109812.13238;
кана;1;92516.7202239;
размещ;10;265997.129295;
tool;1;1488.76553043;
размер;2;15592.3225179;
имен;2;8271.61471474;
корабельн;1;94093.2500278;
входн;2;21065.6800746;
остальн;4;52504.3285732;
распределен;2;40139.3134433;
b;1;17832.9484448;
долж;4;79516.9366028;
упорядочива;1;21145.9114399;
единиц;1;25630.7122453;
задач;52;988504.905087;
r;1;3431.45187576;
сапр;2;34942.6118998;
плюс;1;17516.6689712;
ос;2;170016.946376;
получ;1;1911.82937576;
перв;4;36929.0214719;
and;1;203.446441668;
содержа;1;14171.5134439;
использован;9;67227.8093501;
использ;3;69381.3152517;
программн;2;56387.1342911;
неразмещен;3;73169.3774659;
учет;2;26155.2709579;
свободн;2;153171.834024;
настраива;1;10227.0301298;
алгоритм;76;1473720.20699;
min;7;88043.0770032;
останов;2;14764.4283583;
е;7;82761.0329497;
очередн;8;183119.465901;
увеличен;1;5233.66889571;
исследован;1;8011.32847731;
образ;5;32287.5866616;
позвол;1;7393.6983337;
эффективн;1;1807.7179012;
эвристическ;6;104908.281471;
позволя;6;86044.247369;
избежа;2;19860.1074761;
гост;1;9249.7508392;
системн;1;39688.012319;
единствен;1;7510.07476384;
корректн;11;293957.76009;
значим;3;17696.8070969;
положен;1;21776.0890473;
инструментальн;2;48105.2264902;
вмик;2;74510.7253969;
поведен;1;2678.98497116;
proceedings;1;0.197802991227;
издательск;2;12501.8257036;
формир;1;10772.7141704;
верхн;2;91184.3641608;
мгу;3;15465.1906481;
циклическ;10;302477.433806;
выш;3;11329.2822721;
последн;2;48067.1198348;
следующ;2;74008.7686911;
balash;1;1932.85971248;
distributed;1;0.0117541538166;
а;1;39156.3090943;
стро;8;114383.722197;
ребер;1;7120.52396024;
открыт;1;69247.0278965;
мест;3;48031.2206738;
р;2;5671.31599924;
соб;1;14197.9395201;
di;2;208.113450547;
кибернетик;1;61211.204783;
syst;1;147.914755666;
разн;1;7487.61673614;
вавин;1;9637.92882809;
определен;1;19740.4386209;
л;1;23682.7192288;
получа;3;41770.7255114;
повторн;1;3921.76830254;
однак;1;5752.46947113;
выз;11;201514.753924;
ema;1;135.446807136;
вход;2;12679.60351;
соответствующ;1;10889.4467264;
h;6;150187.099135;
предикат;1;17985.560985;
трудн;3;34718.4972651;
костенк;5;42792.6449603;
automatic;1;11.8421392454;
вектор;2;25704.149824;
